,age,sex,educ,race,income,married
0,75,1,5,25,100.0,0
1,75,1,5,25,100.0,0
2,75,1,5,25,100.0,0
3,75,1,5,25,100.0,0
4,75,1,5,25,100.0,0
5,75,1,5,25,100.0,0
6,75,1,5,25,100.0,0
7,75,1,5,25,100.0,0
8,75,1,5,25,100.0,0
9,75,1,5,25,100.0,0
10,75,1,5,25,100.0,0
11,75,1,5,25,100.0,0
12,75,1,5,25,100.0,0
13,75,1,5,25,100.0,0
14,75,1,5,25,100.0,0
15,75,1,5,25,100.0,0
16,75,1,5,25,100.0,0
17,75,1,5,25,100.0,0
18,75,1,5,25,100.0,0
19,75,1,5,25,100.0,0
20,75,1,5,25,100.0,0
21,75,1,5,25,100.0,0
22,75,1,5,25,100.0,0
23,75,1,5,25,100.0,0
24,75,1,5,25,100.0,0
25,75,1,5,25,100.0,0
26,75,1,5,25,100.0,0
27,75,1,5,25,100.0,0
28,75,1,5,25,100.0,0
29,75,1,5,25,100.0,0
30,75,1,5,25,100.0,0
31,75,1,5,25,100.0,0
32,75,1,5,25,100.0,0
33,75,1,5,25,100.0,0
34,75,1,5,25,100.0,0
35,75,1,5,25,100.0,0
36,75,1,5,25,100.0,0
37,75,1,5,25,100.0,0
38,75,1,5,25,100.0,0
39,75,1,5,25,100.0,0
40,75,1,5,25,100.0,0
41,75,1,5,25,100.0,0
42,75,1,5,25,100.0,0
43,75,1,5,25,100.0,0
44,75,1,5,25,100.0,0
45,75,1,5,25,100.0,0
46,75,1,5,25,100.0,0
47,75,1,5,25,100.0,0
48,75,1,5,25,100.0,0
49,75,1,5,25,100.0,0
50,75,1,5,25,100.0,0
51,75,1,5,25,100.0,0
52,75,1,5,25,100.0,0
53,75,1,5,25,100.0,0
54,75,1,5,25,100.0,0
55,75,1,5,25,100.0,0
56,75,1,5,25,100.0,0
57,75,1,5,25,100.0,0
58,75,1,5,25,100.0,0
59,75,1,5,25,100.0,0
60,75,1,5,25,100.0,0
61,75,1,5,25,100.0,0
62,75,1,5,25,100.0,0
63,75,1,5,25,100.0,0
64,75,1,5,25,100.0,0
65,75,1,5,25,100.0,0
66,75,1,5,25,100.0,0
67,75,1,5,25,100.0,0
68,75,1,5,25,100.0,0
69,75,1,5,25,100.0,0
70,75,1,5,25,100.0,0
71,75,1,5,25,100.0,0
72,75,1,5,25,100.0,0
73,75,1,5,25,100.0,0
74,75,1,5,25,100.0,0
75,75,1,5,25,100.0,0
76,75,1,5,25,100.0,0
77,75,1,5,25,100.0,0
78,75,1,5,25,100.0,0
79,75,1,5,25,100.0,0
80,75,1,5,25,100.0,0
81,75,1,5,25,100.0,0
82,75,1,5,25,100.0,0
83,75,1,5,25,100.0,0
84,75,1,5,25,100.0,0
85,75,1,5,25,100.0,0
86,75,1,5,25,100.0,0
87,75,1,5,25,100.0,0
88,75,1,5,25,100.0,0
89,75,1,5,25,100.0,0
90,75,1,5,25,100.0,0
91,75,1,5,25,100.0,0
92,75,1,5,25,100.0,0
93,75,1,5,25,100.0,0
94,75,1,5,25,100.0,0
95,75,1,5,25,100.0,0
96,75,1,5,25,100.0,0
97,75,1,5,25,100.0,0
98,75,1,5,25,100.0,0
99,75,1,5,25,100.0,0
100,75,1,5,25,100.0,0
101,75,1,5,25,100.0,0
102,75,1,5,25,100.0,0
103,75,1,5,25,100.0,0
104,75,1,5,25,100.0,0
105,75,1,5,25,100.0,0
106,75,1,5,25,100.0,0
107,75,1,5,25,100.0,0
108,75,1,5,25,100.0,0
109,75,1,5,25,100.0,0
110,75,1,5,25,100.0,0
111,75,1,5,25,100.0,0
112,75,1,5,25,100.0,0
113,75,1,5,25,100.0,0
114,75,1,5,25,100.0,0
115,75,1,5,25,100.0,0
116,75,1,5,25,100.0,0
117,75,1,5,25,100.0,0
118,75,1,5,25,100.0,0
119,75,1,5,25,100.0,0
120,75,1,5,25,100.0,0
121,75,1,5,25,100.0,0
122,75,1,5,25,100.0,0
123,75,1,5,25,100.0,0
124,75,1,5,25,100.0,0
125,75,1,5,25,100.0,0
126,75,1,5,25,100.0,0
127,75,1,5,25,100.0,0
128,75,1,5,25,100.0,0
129,75,1,5,25,100.0,0
130,75,1,5,25,100.0,0
131,75,1,5,25,100.0,0
132,75,1,5,25,100.0,0
133,75,1,5,25,100.0,0
134,75,1,5,25,100.0,0
135,75,1,5,25,100.0,0
136,75,1,5,25,100.0,0
137,75,1,5,25,100.0,0
138,75,1,5,25,100.0,0
139,75,1,5,25,100.0,0
140,75,1,5,25,100.0,0
141,75,1,5,25,100.0,0
142,75,1,5,25,100.0,0
143,75,1,5,25,100.0,0
144,75,1,5,25,100.0,0
145,75,1,5,25,100.0,0
146,75,1,5,25,100.0,0
147,75,1,5,25,100.0,0
148,75,1,5,25,100.0,0
149,75,1,5,25,100.0,0
